Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2004,4,10079,128338,121570,121445,123784,"$1,571,460,271","$12,695"
2003,Annual,9549,,,,125315,"$4,799,158,186","$38,297"
2003,1,9444,110156,109586,112617,110786,"$1,074,546,595","$9,699"
2003,2,9512,118172,129612,138682,128822,"$1,112,524,413","$8,636"
2003,3,9587,148881,147427,129237,141848,"$1,169,714,118","$8,246"
2003,4,9651,124331,117024,118053,119803,"$1,442,373,060","$12,040"
2002,Annual,9397,,,,124520,"$4,555,360,736","$36,583"
2002,1,9249,106623,107047,109076,107582,"$952,791,743","$8,856"
2002,2,9367,118290,127348,138522,128053,"$1,081,254,532","$8,444"
2002,3,9470,148934,148752,128461,142049,"$1,125,894,196","$7,926"
2002,4,9502,124232,117871,119089,120397,"$1,395,420,265","$11,590"
2001,Annual,9481,,,,122818,"$4,474,231,563","$36,430"
2001,1,9460,107101,107563,111702,108789,"$1,023,049,193","$9,404"
2001,2,9436,115618,128391,138132,127380,"$1,060,782,709","$8,328"
2001,3,9555,146063,145658,123996,138572,"$1,072,695,829","$7,741"
2001,4,9474,120060,115368,114167,116532,"$1,317,703,832","$11,308"
2000,Annual,9305,,,,121009,"$4,309,969,673","$35,617"
2000,1,9303,102376,103319,106700,104132,"$940,874,680","$9,035"
2000,2,9272,115327,123783,135164,124758,"$983,614,188","$7,884"
2000,3,9357,141006,142249,126052,136436,"$1,038,462,999","$7,611"
2000,4,9286,121933,117034,117160,118709,"$1,347,017,806","$11,347"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
