Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2003,3,33043,40069,42593,44999,42554,"$339,399,459","$7,976"
2003,4,35253,44935,46891,48165,46664,"$458,724,785","$9,830"
2002,Annual,25878,,,,34134,"$1,182,653,451","$34,647"
2002,1,26144,29033,31593,34535,31720,"$308,025,603","$9,711"
2002,2,24971,29128,31893,34555,31859,"$245,344,005","$7,701"
2002,3,25254,35170,38116,40893,38060,"$272,274,609","$7,154"
2002,4,27141,32863,34868,36956,34896,"$357,009,234","$10,231"
2001,Annual,16606,,,,23372,"$738,296,740","$31,589"
2001,1,13351,23871,25103,26341,25105,"$163,082,708","$6,496"
2001,2,12777,20634,21706,22522,21621,"$147,989,761","$6,845"
2001,3,17469,20597,21749,22339,21562,"$150,380,953","$6,974"
2001,4,22828,23357,24997,27242,25199,"$276,843,318","$10,986"
2000,Annual,7651,,,,15248,"$444,803,197","$29,171"
2000,1,4809,8078,8483,8902,8488,"$55,457,141","$6,534"
2000,2,5915,10720,11374,12158,11417,"$74,572,731","$6,532"
2000,3,8130,15546,16120,16770,16145,"$104,935,056","$6,500"
2000,4,11750,23754,24874,26196,24941,"$209,838,269","$8,413"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
