Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2004,4,11256,226370,225548,226129,226016,"$2,340,488,270","$10,355"
2003,Annual,11182,,,,214948,"$8,018,759,514","$37,306"
2003,1,11198,215256,214228,215009,214831,"$1,929,622,344","$8,982"
2003,2,11157,213562,215961,216481,215335,"$1,975,169,506","$9,173"
2003,3,11177,205418,204325,217236,208993,"$1,921,503,668","$9,194"
2003,4,11194,220824,220149,220931,220635,"$2,192,463,996","$9,937"
2002,Annual,11420,,,,215869,"$7,914,469,608","$36,663"
2002,1,11307,214590,213391,213833,213938,"$1,901,795,441","$8,889"
2002,2,11409,215662,218487,219577,217909,"$1,939,962,492","$8,903"
2002,3,11475,208159,204756,218745,210553,"$1,908,230,105","$9,063"
2002,4,11488,221960,220495,220776,221077,"$2,164,481,570","$9,791"
2001,Annual,11782,,,,229750,"$8,279,424,500","$36,037"
2001,1,11864,233594,232984,233148,233242,"$2,045,757,123","$8,771"
2001,2,11800,231145,237138,237472,235252,"$2,067,505,943","$8,788"
2001,3,11815,224451,219971,230711,225044,"$1,992,113,945","$8,852"
2001,4,11649,229157,224215,223008,225460,"$2,174,047,489","$9,643"
2000,Annual,11925,,,,235347,"$8,089,991,060","$34,375"
2000,1,11973,231894,231528,232158,231860,"$1,929,706,043","$8,323"
2000,2,11902,232805,235016,236746,234856,"$1,979,456,079","$8,428"
2000,3,11998,227709,226855,238913,231159,"$1,950,263,267","$8,437"
2000,4,11828,243130,242969,244437,243512,"$2,230,565,671","$9,160"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
